id_compra,data_hora,produto,preco_unitario,quantidade,cliente,cidade,forma_pagamento,frete,avaliacao,valor_total
70753576,2026-01-30 21:33:48.272120,Tablet Mini,136.55,4,Troy Bell,São Paulo,Boleto,21.39,1.0,567.59
19927969,2026-06-01 21:33:48.272247,Roteador Wi-Fi,693.89,3,Mary Santos,Rio de Janeiro,Pix,27.82,,2109.4900000000002
44895707,2026-03-27 21:33:48.272375,Carregador Portátil,834.68,3,Rebecca White,Fortaleza,Boleto,13.63,,2517.67
66065992,2026-03-20 21:33:48.272506,HD Externo 1TB,1508.86,2,Benjamin Munoz,Manaus,Pix,23.27,1.0,3040.99
90170616,2026-02-28 21:33:48.272632,Tablet Mini,459.86,5,Caitlyn Lindsey,Manaus,Pix,25.92,4.0,2325.2200000000003
45958382,2026-06-03 21:33:48.272760,Smartwatch,1046.79,2,Danielle Francis,Rio de Janeiro,Pix,28.2,,2121.7799999999997
2690023,2026-05-20 21:33:48.272888,Carregador Portátil,232.11,2,Samantha King,Curitiba,Boleto,41.3,2.0,505.52000000000004
76727001,2025-12-19 21:33:48.273027,Smartphone X,527.44,4,Sarah Nguyen,Manaus,Cartão de Crédito,25.49,,2135.25
11431590,2026-05-09 21:33:48.273155,Smartwatch,1450.77,4,Brandon Mckenzie,Recife,Débito,15.98,,5819.0599999999995
60587655,2026-06-07 21:33:48.273306,Smartphone X,1790.69,1,Jessica Schwartz,Salvador,Boleto,12.91,,1803.6000000000001
57886636,2026-04-24 21:33:48.273439,Mouse Sem Fio,147.93,2,Nicholas Scott,Rio de Janeiro,Débito,11.0,4.0,306.86
75057930,2026-06-01 21:33:48.273565,Teclado Mecânico,1976.39,5,Juan Faulkner,Brasília,Débito,32.57,,9914.52
55118499,2026-04-21 21:33:48.273690,Capinha para Celular,1669.61,5,Keith Stevens,Recife,Boleto,38.46,4.0,8386.509999999998
52362963,2026-04-07 21:33:48.273814,Tablet Mini,1515.96,3,Jennifer Kane,Fortaleza,Débito,33.2,3.0,4581.08
21182045,2026-04-04 21:33:48.273942,Fone de Ouvido Bluetooth,1441.41,2,Anne Snyder,Curitiba,Pix,19.39,5.0,2902.21
24857892,2026-01-02 21:33:48.274070,Notebook Pro,344.12,4,Meghan Trujillo,Belo Horizonte,Boleto,7.89,4.0,1384.3700000000001
90684760,2026-03-07 21:33:48.274197,Teclado Mecânico,958.55,1,William Jones,Porto Alegre,Débito,22.53,5.0,981.0799999999999
89290099,2026-06-09 21:33:48.274332,Smartphone X,1720.63,5,Desiree Cox,Salvador,Débito,5.27,3.0,8608.420000000002
45336773,2026-02-27 21:33:48.274466,Câmera Digital,810.47,4,Alyssa Manning,Fortaleza,Boleto,26.97,3.0,3268.85
48078043,2026-04-03 21:33:48.274593,Mouse Sem Fio,106.6,3,Melody Thomas,Salvador,Boleto,42.82,2.0,362.61999999999995
48448437,2026-05-21 21:33:48.274720,Teclado Mecânico,102.58,4,Robert Henderson,Manaus,Cartão de Crédito,8.78,4.0,419.09999999999997
33665743,2026-01-16 21:33:48.274848,Caixa de Som,950.31,1,Robert Koch,Curitiba,Débito,19.73,4.0,970.04
99042754,2026-03-06 21:33:48.274981,Carregador Portátil,1534.4,4,Tina Boyer PhD,Curitiba,Débito,16.35,1.0,6153.950000000001
9646918,2026-04-12 21:33:48.275116,Smartphone X,1510.6,1,Linda Ross,Brasília,Boleto,34.26,,1544.86
64706624,2025-12-23 21:33:48.275244,Câmera Digital,110.51,2,Shawn Williams,Porto Alegre,Cartão de Crédito,32.96,2.0,253.98000000000002
14944845,2026-01-14 21:33:48.275370,Mouse Sem Fio,1355.44,5,Brittany Payne,Porto Alegre,Débito,36.48,3.0,6813.68
91757124,2026-01-24 21:33:48.275496,"Monitor 24""",1234.13,1,Jessica Daniels,Belo Horizonte,Pix,9.86,1.0,1243.99
34701740,2026-03-02 21:33:48.275625,"Monitor 24""",1370.83,4,Taylor Jones,Salvador,Boleto,8.42,,5491.74
52640946,2026-05-22 21:33:48.275752,Smartwatch,248.71,3,Kayla Gibson,Manaus,Cartão de Crédito,40.83,5.0,786.96
40057545,2025-12-23 21:33:48.275879,Carregador Portátil,1088.85,3,Lance Wilson,Rio de Janeiro,Pix,5.57,4.0,3272.12
82663410,2026-04-17 21:33:48.276004,Fone de Ouvido Bluetooth,895.37,3,Danielle Manning,Recife,Boleto,24.6,,2710.71
34590013,2026-04-25 21:33:48.276134,HD Externo 1TB,576.66,5,Dr. David Russell,Recife,Débito,24.6,,2907.8999999999996
94486384,2026-05-13 21:33:48.276268,Tablet Mini,678.49,2,Lauren Carpenter,Rio de Janeiro,Pix,44.67,2.0,1401.65
16041548,2026-04-10 21:33:48.276396,"Monitor 24""",1240.15,4,Amy Lane,Brasília,Cartão de Crédito,27.24,3.0,4987.84
68994889,2026-01-28 21:33:48.276523,Mouse Sem Fio,463.63,3,Tara Brown,Brasília,Pix,44.61,,1435.4999999999998
74477555,2026-02-21 21:33:48.276650,Teclado Mecânico,69.79,2,Vicki Walker,Rio de Janeiro,Boleto,37.4,4.0,176.98000000000002
20596160,2026-05-04 21:33:48.276777,Câmera Digital,518.63,4,Kimberly Curry,Recife,Débito,40.68,1.0,2115.2
23373051,2026-02-26 21:33:48.276904,Smartwatch,838.58,2,Garrett Henry,Curitiba,Pix,26.3,5.0,1703.46
52047730,2026-03-11 21:33:48.277036,Capinha para Celular,1993.43,5,Susan Bailey,Brasília,Pix,36.63,3.0,10003.779999999999
1672764,2026-03-01 21:33:48.277163,Tablet Mini,499.55,2,Lucas Nguyen,Brasília,Cartão de Crédito,38.43,,1037.53
33799321,2026-01-29 21:33:48.277293,Smartwatch,471.95,4,Lisa Martin,Curitiba,Pix,49.12,2.0,1936.9199999999998
14115288,2026-02-26 21:33:48.277424,Smartwatch,753.72,3,Krista Chen,São Paulo,Boleto,17.34,1.0,2278.5
38181298,2026-05-03 21:33:48.277555,Tablet Mini,1409.96,2,Hector White,Recife,Cartão de Crédito,44.27,5.0,2864.19
28478734,2026-02-23 21:33:48.277680,Mouse Sem Fio,983.49,3,Susan Krueger,Belo Horizonte,Cartão de Crédito,16.36,4.0,2966.8300000000004
45719307,2026-01-11 21:33:48.277808,Caixa de Som,177.42,4,Megan Walker,Rio de Janeiro,Cartão de Crédito,11.83,5.0,721.51
18050991,2026-02-28 21:33:48.277936,Fone de Ouvido Bluetooth,1988.14,1,Kelly Carpenter,Fortaleza,Débito,32.28,5.0,2020.42
84826825,2026-02-08 21:33:48.278063,Câmera Digital,1069.02,4,Timothy Mack,Recife,Pix,43.71,4.0,4319.79
20638375,2026-03-01 21:33:48.278188,"Monitor 24""",1261.0,5,Virginia Whitaker,Rio de Janeiro,Boleto,33.15,3.0,6338.15
97291948,2026-05-31 21:33:48.278345,Fone de Ouvido Bluetooth,356.26,2,David Holt,Fortaleza,Cartão de Crédito,12.04,4.0,724.56
68082252,2026-04-07 21:33:48.278474,SSD 500GB,1207.93,3,James Li,São Paulo,Boleto,17.96,3.0,3641.75
25705985,2026-06-10 21:33:48.278599,Caixa de Som,935.36,2,Elizabeth Bryant,Curitiba,Boleto,24.13,5.0,1894.8500000000001
45789813,2026-02-08 21:33:48.278728,HD Externo 1TB,340.53,3,Douglas Cook,Belo Horizonte,Cartão de Crédito,7.68,3.0,1029.27
49382311,2026-05-14 21:33:48.278853,SSD 500GB,1657.27,3,Cynthia Daugherty,Recife,Cartão de Crédito,26.09,3.0,4997.9
22432994,2026-06-10 21:33:48.278981,Capinha para Celular,1888.22,5,Marvin Hernandez,Fortaleza,Débito,24.7,5.0,9465.800000000001
94289457,2025-12-23 21:33:48.279115,Roteador Wi-Fi,892.46,3,Melissa Cole,Manaus,Pix,6.16,2.0,2683.54
98591050,2026-06-03 21:33:48.279280,Caixa de Som,1728.01,5,Dale Clements,São Paulo,Pix,30.93,2.0,8670.98
29279122,2026-04-12 21:33:48.279532,Teclado Mecânico,1320.44,3,Gina Potter PhD,Belo Horizonte,Débito,33.57,4.0,3994.8900000000003
73872405,2026-01-05 21:33:48.279754,Mouse Sem Fio,728.52,3,Bonnie Elliott,Brasília,Cartão de Crédito,43.6,3.0,2229.16
81864729,2026-03-28 21:33:48.279950,SSD 500GB,1016.16,4,Tracy Jacobs,Fortaleza,Cartão de Crédito,25.47,3.0,4090.1099999999997
16014358,2026-02-15 21:33:48.280142,Carregador Portátil,276.05,4,Anna Flores,Fortaleza,Cartão de Crédito,34.59,5.0,1138.79
57379180,2026-04-10 21:33:48.280357,Capinha para Celular,155.7,5,Scott Smith,Brasília,Débito,33.14,1.0,811.64
72086445,2026-02-03 21:33:48.280549,Tablet Mini,1120.98,3,Laura Terrell,Recife,Débito,10.46,,3373.4
72439562,2026-05-17 21:33:48.280740,Câmera Digital,516.63,2,Oscar Collier,Curitiba,Cartão de Crédito,29.85,1.0,1063.11
64435235,2026-02-08 21:33:48.280929,Caixa de Som,1830.21,4,Angela Hodges,Rio de Janeiro,Boleto,27.43,,7348.27
57225388,2026-02-25 21:33:48.281133,Teclado Mecânico,1425.55,4,Paula Norris,Recife,Débito,15.97,5.0,5718.17
30289134,2026-01-19 21:33:48.281332,Capinha para Celular,421.69,5,Angela Harris,Fortaleza,Boleto,43.88,3.0,2152.33
97677403,2026-03-29 21:33:48.281511,Carregador Portátil,1871.78,5,Michelle Todd,Curitiba,Cartão de Crédito,17.73,3.0,9376.63
77042703,2026-05-12 21:33:48.281639,"Monitor 24""",1997.86,4,Jeffrey Pineda,Belo Horizonte,Débito,29.24,3.0,8020.679999999999
85036551,2026-03-08 21:33:48.281765,Teclado Mecânico,1537.6,4,Tiffany Rodriguez,Recife,Pix,44.13,,6194.53
85431755,2026-02-12 21:33:48.281893,"Monitor 24""",796.79,4,Danielle Wood,São Paulo,Pix,38.51,,3225.67
89661561,2026-03-20 21:33:48.282024,Capinha para Celular,1977.41,2,Allison Roach,Recife,Cartão de Crédito,10.68,5.0,3965.5
80204340,2026-03-07 21:33:48.282155,Caixa de Som,245.71,4,Wanda Brown,Rio de Janeiro,Débito,5.69,2.0,988.5300000000001
47156925,2026-03-27 21:33:48.282291,Caixa de Som,1326.82,2,Patrick Shea,Rio de Janeiro,Débito,40.17,3.0,2693.81
22407315,2026-03-09 21:33:48.282417,"Monitor 24""",1400.77,1,Jeffrey White,Brasília,Débito,47.94,,1448.71
98817761,2026-04-16 21:33:48.282546,Caixa de Som,1104.98,5,Craig Nelson,Rio de Janeiro,Boleto,33.4,3.0,5558.299999999999
37417564,2026-02-09 21:33:48.282672,SSD 500GB,226.24,1,Gabrielle Decker,Rio de Janeiro,Débito,12.49,3.0,238.73000000000002
85244218,2025-12-20 21:33:48.282799,Smartphone X,682.53,1,Jennifer Roth,Curitiba,Pix,21.87,2.0,704.4
78728226,2026-02-13 21:33:48.282926,Teclado Mecânico,853.5,2,Alexandra Richards,Belo Horizonte,Boleto,8.55,4.0,1715.55
64661974,2026-05-20 21:33:48.283062,HD Externo 1TB,519.62,5,Joseph Thompson,Belo Horizonte,Boleto,25.75,3.0,2623.85
495283,2026-04-09 21:33:48.283191,Tablet Mini,1350.34,4,Allen Taylor,Curitiba,Boleto,8.32,3.0,5409.679999999999
9719104,2026-05-12 21:33:48.283360,Tablet Mini,1295.93,4,Benjamin Wilson,Curitiba,Débito,43.04,2.0,5226.76
18538106,2026-03-21 21:33:48.283492,Caixa de Som,992.26,2,Samantha Riley,Salvador,Pix,30.87,,2015.3899999999999
46425620,2026-02-26 21:33:48.283620,Smartphone X,1956.99,4,Lori Sanchez,Curitiba,Cartão de Crédito,30.47,,7858.43
4837266,2025-12-25 21:33:48.283747,Roteador Wi-Fi,1232.49,4,Mark Brown,Curitiba,Boleto,32.32,3.0,4962.28
18849841,2026-02-07 21:33:48.283872,HD Externo 1TB,420.76,3,Michael Duran,Belo Horizonte,Cartão de Crédito,45.65,,1307.93
69847296,2025-12-23 21:33:48.283997,Tablet Mini,1587.79,1,Lori White,Manaus,Pix,37.96,1.0,1625.75
29559815,2026-02-26 21:33:48.284124,Carregador Portátil,1507.59,2,Elizabeth Gregory,Porto Alegre,Boleto,40.39,3.0,3055.5699999999997
94877839,2026-04-27 21:33:48.284264,Teclado Mecânico,1831.3,2,Tracy Wood,Curitiba,Débito,48.53,3.0,3711.13
64334629,2026-03-09 21:33:48.284414,Câmera Digital,274.58,1,Alexander Allen,Belo Horizonte,Boleto,43.71,,318.28999999999996
77899939,2026-06-03 21:33:48.284540,Capinha para Celular,1936.18,5,Darryl Jones,Brasília,Cartão de Crédito,40.58,1.0,9721.48
5320281,2026-02-18 21:33:48.284679,Teclado Mecânico,291.0,3,Stephanie Love,Curitiba,Débito,42.01,3.0,915.01
98528202,2026-01-09 21:33:48.284810,HD Externo 1TB,505.95,1,Anthony Cruz,Manaus,Pix,46.19,2.0,552.14
50953905,2026-05-27 21:33:48.284935,Fone de Ouvido Bluetooth,1289.04,4,Jonathan Newton,Curitiba,Débito,10.25,1.0,5166.41
66911831,2025-12-22 21:33:48.285079,Tablet Mini,1992.06,1,Ryan Bishop,Rio de Janeiro,Boleto,44.93,2.0,2036.99
68387308,2026-03-22 21:33:48.285210,Mouse Sem Fio,773.47,5,Samantha Cannon,Salvador,Boleto,44.84,,3912.1900000000005
39165367,2026-01-07 21:33:48.285341,Caixa de Som,1004.23,4,Grace Hamilton,Curitiba,Cartão de Crédito,36.06,2.0,4052.98
30368398,2026-04-05 21:33:48.285469,Mouse Sem Fio,1903.58,3,Timothy Guzman,Rio de Janeiro,Pix,29.5,,5740.24
82728405,2026-03-14 21:33:48.285597,Smartphone X,826.37,2,Kim Nichols,Rio de Janeiro,Débito,9.13,2.0,1661.8700000000001
67509768,2026-05-26 21:33:48.285725,HD Externo 1TB,1214.43,1,Carl Campbell,São Paulo,Pix,15.96,2.0,1230.39
36923447,2026-05-06 21:33:48.285855,Smartwatch,183.79,5,Jennifer Edwards,Porto Alegre,Boleto,41.59,2.0,960.54
42469739,2026-03-07 21:33:48.285982,Câmera Digital,337.73,5,David Jones,São Paulo,Pix,43.63,2.0,1732.2800000000002
36317276,2026-01-15 21:33:48.286108,Teclado Mecânico,538.78,2,Jacob Perez,Rio de Janeiro,Cartão de Crédito,10.93,3.0,1088.49
21513853,2026-02-11 21:33:48.286241,"Monitor 24""",681.35,2,Natasha Brown,Curitiba,Cartão de Crédito,10.7,4.0,1373.4
94296840,2026-04-26 21:33:48.286373,Fone de Ouvido Bluetooth,1504.05,4,Amber Brennan,Recife,Pix,28.1,1.0,6044.3
73599429,2026-04-07 21:33:48.286501,Teclado Mecânico,482.02,5,Kimberly Williams,São Paulo,Pix,25.61,1.0,2435.71
72087661,2025-12-28 21:33:48.286630,Mouse Sem Fio,1702.23,4,Kathy Rodriguez,Rio de Janeiro,Débito,37.06,4.0,6845.9800000000005
46340186,2025-12-31 21:33:48.286758,Roteador Wi-Fi,207.54,5,Sarah Collins,Belo Horizonte,Cartão de Crédito,10.68,5.0,1048.38
6396600,2026-05-24 21:33:48.286886,"Monitor 24""",1119.3,3,Thomas Chavez,Salvador,Pix,25.42,5.0,3383.3199999999997
5724000,2026-04-02 21:33:48.287011,Fone de Ouvido Bluetooth,1596.54,1,Susan Foster,Fortaleza,Boleto,24.35,2.0,1620.8899999999999
86714650,2026-03-28 21:33:48.287147,Carregador Portátil,1663.47,4,Thomas Palmer,Salvador,Cartão de Crédito,19.06,3.0,6672.9400000000005
25677409,2026-06-01 21:33:48.287284,Tablet Mini,779.89,2,Amanda Graham,Recife,Cartão de Crédito,9.11,1.0,1568.8899999999999
736,2026-01-05 21:33:48.287413,Capinha para Celular,238.3,3,Jason Jones,Belo Horizonte,Cartão de Crédito,31.39,5.0,746.2900000000001
83946742,2026-05-05 21:33:48.287541,Carregador Portátil,1356.53,4,Robert King,Brasília,Débito,44.06,,5470.18
167929,2025-12-26 21:33:48.287670,Tablet Mini,1220.8,3,Chad Rodriguez,Rio de Janeiro,Boleto,11.96,4.0,3674.3599999999997
22151233,2026-02-08 21:33:48.287796,Caixa de Som,261.03,5,Ashley Jones,Brasília,Cartão de Crédito,39.32,5.0,1344.4699999999998
23254364,2026-02-08 21:33:48.287924,Câmera Digital,886.77,5,Curtis Reynolds,Manaus,Cartão de Crédito,32.4,,4466.25
68109140,2026-06-08 21:33:48.288054,Tablet Mini,106.46,3,Edward Roberts,Curitiba,Pix,20.8,2.0,340.18
35661268,2026-01-18 21:33:48.288180,"Monitor 24""",1331.82,1,Marissa Wilson,Belo Horizonte,Cartão de Crédito,9.13,5.0,1340.95
27999319,2026-02-06 21:33:48.288518,Capinha para Celular,868.67,3,Chelsea Leach,Belo Horizonte,Pix,19.02,3.0,2625.0299999999997
42837463,2026-05-07 21:33:48.288748,"Monitor 24""",215.67,1,Christian Malone,Belo Horizonte,Boleto,38.95,1.0,254.62
62749490,2026-06-03 21:33:48.288947,Fone de Ouvido Bluetooth,580.6,4,Mark Keller,Recife,Débito,23.64,2.0,2346.04
54444215,2026-04-23 21:33:48.289138,Fone de Ouvido Bluetooth,723.09,1,Sean Williams,Curitiba,Débito,28.71,3.0,751.8000000000001
97608218,2025-12-24 21:33:48.289361,Smartwatch,820.76,5,Tyler Baldwin,São Paulo,Cartão de Crédito,14.2,2.0,4118.0
97965587,2026-01-17 21:33:48.289509,Câmera Digital,548.26,3,Sheila Hamilton,Rio de Janeiro,Cartão de Crédito,27.38,4.0,1672.16
85776955,2026-01-26 21:33:48.289644,Notebook Pro,791.4,2,Dennis Owens,Fortaleza,Pix,8.24,,1591.04
64494616,2025-12-23 21:33:48.289774,Capinha para Celular,86.55,1,Susan Meza,Brasília,Débito,30.8,,117.35
99840059,2026-05-25 21:33:48.289905,Capinha para Celular,614.55,4,Joseph Mckinney,São Paulo,Pix,12.73,5.0,2470.93
78334676,2026-04-09 21:33:48.290033,Caixa de Som,1394.74,3,Timothy Cardenas,Rio de Janeiro,Débito,43.0,2.0,4227.22
49469442,2026-04-03 21:33:48.290160,"Monitor 24""",830.88,1,Kevin Young,Salvador,Pix,38.56,2.0,869.44
82426619,2026-03-08 21:33:48.290296,Câmera Digital,377.86,5,James Petty,Rio de Janeiro,Boleto,45.77,3.0,1935.0700000000002
33116089,2026-03-12 21:33:48.290423,SSD 500GB,1918.54,2,Emily Durham,Porto Alegre,Cartão de Crédito,11.59,2.0,3848.67
38697231,2026-01-26 21:33:48.290557,"Monitor 24""",348.1,1,Matthew Vazquez,Belo Horizonte,Débito,25.88,5.0,373.98
98512745,2026-05-10 21:33:48.290684,Mouse Sem Fio,1378.21,5,Julie Snyder,Manaus,Pix,43.89,,6934.9400000000005
62577186,2026-03-03 21:33:48.290813,Notebook Pro,907.54,4,Amy Mcgee,Recife,Pix,40.83,5.0,3670.99
61041739,2025-12-27 21:33:48.290942,Carregador Portátil,1039.31,3,Robert Green,Recife,Débito,6.69,3.0,3124.62
13826407,2026-02-24 21:33:48.291079,Fone de Ouvido Bluetooth,1307.1,1,Stephanie Williams,Manaus,Débito,25.82,5.0,1332.9199999999998
68636531,2025-12-23 21:33:48.291222,Mouse Sem Fio,1822.65,5,Shawn Mason,Porto Alegre,Pix,32.23,5.0,9145.48
59262102,2026-01-20 21:33:48.291352,Smartphone X,928.52,3,Jennifer Simon,Rio de Janeiro,Boleto,6.76,,2792.32
32009511,2026-04-04 21:33:48.291488,Mouse Sem Fio,1071.93,5,Jessica Mcdowell,Belo Horizonte,Pix,21.78,3.0,5381.43
54940618,2026-03-22 21:33:48.291618,Capinha para Celular,1560.21,5,Joshua Jones,São Paulo,Pix,7.97,1.0,7809.02
